ssn,name,race,country,sentence_length
877-31-7548,Grover Dadd,Guatemalan,Croatia,259
216-46-3737,Chastity Tansley,Japanese,Indonesia,278
302-95-1670,Aura Stormonth,Asian Indian,Russia,184
117-04-1503,Kaleb Howgego,Delaware,Estonia,16
635-02-7085,Milissent Dunmuir,Korean,Indonesia,198
479-44-0153,Blair Leinster,Thai,Russia,341
323-35-3471,Maynard Christophers,Mexican,Ethiopia,257
107-83-9499,Cyndi Lared,Melanesian,Indonesia,216
786-12-2153,Katherina Barbier,Bangladeshi,China,281
241-86-6604,Crissy MacAdam,Sioux,Nepal,357
665-24-3663,Carny Ormshaw,Cuban,France,332
348-33-7683,Melba Sidgwick,Native Hawaiian and Other Pacific Islander (NHPI),France,63
198-97-0187,Maximilien Falkingham,Guamanian,China,336
439-98-8860,Shayna Marjot,Peruvian,China,165
673-42-6907,Mikael Meric,Menominee,China,384
813-55-9765,Meriel Fairpo,Latin American Indian,Indonesia,188
636-04-5115,Minnie Ziehm,Tohono O'Odham,Venezuela,47
539-22-0357,Herb Austwick,Venezuelan,Paraguay,309
447-10-2859,Giacomo Bernardi,Kiowa,Indonesia,22
255-48-2575,Wini Pichmann,Eskimo,China,74
231-26-1088,Annalee Radnedge,Costa Rican,United States,97
643-63-4837,Saunderson Arndell,Dominican (Dominican Republic),Portugal,393
436-52-3666,Daphne Wasiel,Chilean,Argentina,342
420-04-4187,Archie Pedrollo,Thai,Sweden,249
144-65-6370,Roda Ovens,Pima,Indonesia,108
408-47-7387,Mildred Pautard,Choctaw,Botswana,32
898-98-2872,Carie Tiesman,Thai,China,277
286-59-3863,Ashlee Harcase,Taiwanese,Russia,231
132-77-9623,Tiertza Goosey,Peruvian,Zambia,169
764-29-8392,Rosene Faill,Yaqui,Russia,236
418-03-7288,Pebrook Toplis,Central American,Indonesia,369
184-46-2551,Winnie Zarb,Osage,Malaysia,326
622-72-9796,Andonis Leyshon,Chamorro,Thailand,225
658-83-0988,Sarge Dick,Paraguayan,Sweden,204
854-20-9596,Adoree Braithwait,Taiwanese,Russia,169
105-68-3020,Ertha Bodker,Shoshone,France,182
180-65-6152,Ranee Sinnie,Pueblo,El Salvador,10
717-53-9670,Libbi Whitehorne,Latin American Indian,Philippines,298
153-87-7593,Lorelle Stigers,American Indian and Alaska Native (AIAN),Turkmenistan,372
700-14-4004,Sheela Bleibaum,Yaqui,Belarus,380
739-19-0976,Legra Vlasov,Laotian,Indonesia,289
261-70-3951,Goran Hastin,Venezuelan,Indonesia,236
478-76-1040,Michaeline Ketteridge,Hmong,Brazil,329
350-32-5593,Jane Hamill,Japanese,Argentina,198
282-48-5334,Allis Hannen,Ottawa,Indonesia,284
742-76-7795,Amerigo Heintzsch,Japanese,Portugal,73
302-81-8243,Padgett Bernakiewicz,Micronesian,Czech Republic,137
673-44-8526,Celisse Benley,Bangladeshi,China,147
676-36-7735,Robena Burgett,Guatemalan,Afghanistan,144
850-22-6426,Lizzie Poles,Chilean,Indonesia,387
464-99-3995,Kathryne Buxam,Eskimo,Indonesia,175
818-41-8516,Regan Sidebotham,Yakama,Haiti,298
580-63-0357,Brockie Sweatman,Apache,Mauritius,328
571-49-6647,Maryl Snaddin,Delaware,Sweden,366
809-88-9794,Camala Coultous,Shoshone,Indonesia,65
567-13-5609,Paulina Hamper,Asian,China,108
618-24-4986,Jaclin Darnborough,White,France,381
730-38-4498,Clayborne Blazewski,White,Honduras,184
247-25-4462,Terrell Merrell,Micronesian,Serbia,58
685-95-7630,Saunderson Surgey,Guamanian,China,108
173-80-2539,Alayne Dowse,Seminole,Indonesia,282
623-58-9103,Domini Boichat,American Indian and Alaska Native (AIAN),Argentina,301
211-63-8541,Will McPhaden,Cherokee,Japan,175
835-90-6144,Joanna Strachan,Choctaw,Indonesia,100
216-34-6674,Flss Stronack,White,Indonesia,227
674-81-2758,Andriana Beddon,Kiowa,Panama,294
195-52-8976,Alvie Firbank,Asian Indian,United States,251
196-36-5909,Benson Manz,Blackfeet,Venezuela,252
605-94-1699,Maryann North,Chippewa,Azerbaijan,102
775-85-8083,Claudian Causon,Chilean,Serbia,215
585-12-9269,Crystal Chesnay,Yaqui,Argentina,269
735-96-5405,Kaspar Bowes,Menominee,Poland,128
723-58-1377,Maurie Frankcombe,Indonesian,Mauritius,350
165-05-1577,Carlee Filov,Ottawa,Indonesia,141
113-15-4136,Archibaldo Limer,Crow,Kazakhstan,152
612-81-1172,Renault Gannicleff,Ecuadorian,Venezuela,359
616-04-0107,Ashlin Kuschke,Crow,Russia,322
362-66-1441,Cacilia Oldham,Central American,Poland,208
840-46-0013,Kelby Dinsmore,Osage,Albania,1
582-06-5947,Corine Jent,Kiowa,Vietnam,317
680-54-9135,Amalea Abendroth,Seminole,China,123
867-52-2341,Liza Cabel,Latin American Indian,China,260
466-34-2047,Marthe Cunniffe,Samoan,China,218
306-02-4265,Julietta Martinot,Ottawa,France,151
777-42-2300,Bette Demonge,Houma,Benin,251
757-64-5458,Parke Angric,Chamorro,Poland,343
889-09-0717,Denys Alenikov,Sioux,Czech Republic,13
614-89-7577,Shannah Chowne,Kiowa,Poland,330
877-86-3380,Jed Vedeneev,Argentinian,Indonesia,204
858-73-6863,Patin McIlvenny,Navajo,Malawi,196
810-99-7331,Phedra Outibridge,Dominican (Dominican Republic),Russia,66
660-46-3451,Sheree Vautier,Honduran,Russia,240
452-46-1550,Cristin Curl,Indonesian,China,100
393-65-5671,Filide Biesterfeld,Taiwanese,Sweden,172
555-77-4294,Dougie Tomowicz,Navajo,Somalia,201
663-64-0856,Fancie Sherburn,Chickasaw,China,155
